S.N,Name:-,Contact:-,Address:-,
1,Mega 24 Seven Grocery Store,9696439911,"V28F+HW8, Kathauta Chauraha Rd, beside Ulta Pulta, Vijayant Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
2,Kid's N Cupid,8318173404,"638/k234/001, Manas Enclave Mai Gate , Kharagpur, Faridi nagar , Lucknow , Uttar Pradesh",226015
3,Eat N Drive Cafe,9918973333,"13,187,Indira Nagar RD. Sector-14, Indira Nagar , Lucknow , Uttar Pradesh 226016",
4,Manas Mahal Sweet And Treat,9415123010,"297 Savitri Market , Manas Enclave , Indira Nagar , Lucknow , Uttar Pradeh 226016",
5,Cafe WTF,9455290339,"D-2212,Indira Nagar Main Road, Sector-8, Indira Nagar , Lucknow , Uttar Pradesh 226016",
6,The Porch Cafe & Bistro,7071704411,"Harihar Nagar , Kamta , Lucknow , Uttar Pradesh 226010",
7,Cafe Sip & Snack,8299552709,"9/10, Arvindo Park RD. , Munshi Puliya, Sector-9, Indira Nagar , Lucknow , Uttar Pradesh 226016",
8,Coffee Dude,9838336014,"B-5/156, Church RD. , Sector-5, Indira Nagart , Lucknow , Uttar Pradesh 226016",
9,The Garage Cafe,9838888655,"2nd Floor . Plop No.6 , Priti Vihar , Surender Nagar , Lucknow, Uttar Pradesh 226028",
10,Boom Boom Cafe,8730542849,"Polythechnic Chauraha , Vibhuti Khand , Indira Nagar , Lucknow , Uttar Pradesh 226016",
11,HookUp Cafe/Resto./Music,7570001958,"8-3/10, OOP, Surya Viewe Apartment, Chinhat Tiraha, Gomti Nagar , Lucknow , Uttar Pradesh 226010",
12,Bae House Cafe,7991272704,"624R/282, Next To Hyatt Regency , Vibhuti khand , Gomti Nagar , Lucknow , Uttar Pradesh 226010",
13,Ketli Tea Bar & Garden,7905450028,"C1026, Church RD. , Indira","Nagar , Lucknow , Uttar Pradesh 226016"
14,Free Spirit Cafe & Restaurants,8175956711,"Mandi Parishad , VIjaypur Village , Gomti Nagar , Lucknow , Uttar Pradesh 226010",
15,Swagger Cafe And Launge,9838393393,"Old Amity Campus , 3/25 , Vinamra Khand , Gomti Nagar , Lucknow , Uttar Pradesh 226010",
16,Irani Kafe 2.7,9151133343,"A1 , 22, Patrakar Puram RD. , Vikram Khand , Gomti Nagar , Lucknow , Uttar Pradesh 226010",
17,ICDC-Influence Car Dining Cafe,7082942513,"Kisan Bazar , K-35, Vibhuti Khand , Gomti Nagar , Lucknow , Uttar Pradesh 226010",
18,Morning Brew Cafe,8957492326,"Khasra No. 86SA Ramaasre Purwa , Geeta Puri , Kharagpur , Gomti Nagar , Lucknow , Uttar Pradesh 226010",
19,Loafee,7082942513,"Kisan Bazar,C-4, Opposite Dayal Gateway Hotel , Vibhuti Khand , Gomti Nagar, Lucknow ,Uttar Pradesh 226010",
20,Vintage Machine,9919111155,"3/11 Patrakarpuram Crossing RD. , Patrakarpuram, Gomti Nagar , Lucknow , Uttar Pradesh 226010",
21,The Chocolate Cafe,7880422852,"1,1023,Vishal Khand ,","Gomti Nagar , Lucknow , Uttar Pradeh 226010"
22,Fashion TV Cafe,7617008600,"A12 Kisan Bazar , Opposite Cinepolis Mall Vibhuti Khand , Gomti Nagar , Lucknow ,Uttar Pradesh 226010",
23,Arya Mart,9807255215,"10/706, Jama Masjid RD. ,Sector-10, Indira Nagar , Lucknow , Uttar Pradesh 226016",
24,Lucknow Store,8881999204,"Picnic Spot Road , Khurram Nagar , OOP. Fatimi Masjid ,Sector-8 , Nagar Nagar, Lucknow , Uttar Pradesh 226022",
25,Family Store,9336482353,"102,sector-9 , Indira Nagar , Lucknow , Uttar Pradesh 226016",
26,Sri Bala Ji Mart,8840664625,"1 Bala Ji Market, Indira Nagar , Lucknow , Uttar Pradesh 226016",
27,SL Departmental Store,5222304184,"4/407,Vivek Khand , Gomti Nagar , Lucknow , Uttar Pradesh 226010",
28,Aryan Hazratganj,0522 223 6000,"Bhanumati Rd, 90, Mahatma Gandhi Marg, opp. Raj Bhawan, Raj Bhavan Colony, Hazratganj, Lucknow, Uttar Pradesh 226001",
29,Silver Spoon,0522 423 1111,"Sapru Marg, Prem Nagar, Hazratganj, Lucknow, Uttar Pradesh 226001",
30,The Late 90s Restaurant & Lounge,0522 434 9955,"No. 11, Habibullah Estate, MG Road, Halwasiya Market, Hazratganj, Lucknow, Uttar Pradesh 226001",
31,Marksmen,0522 404 8133,"2&3, Maqbara Rd, Hazratganj, Lucknow, Uttar Pradesh 226001",
32,Cafe By Default,070541 77770,"11, Mahatma Gandhi Marg, Hazratganj, Lucknow, Uttar Pradesh 226001",
33,Home Sweet Home,099580 95393,"3rd floor, Halwasiya House, 11, M. G. Road, Hazratganj, Lucknow, Uttar Pradesh 226001",
34,Curry Leaf Hazratganj,94155 00056,"Shop 3, Mahatma Gandhi Marg, near Shree Hanuman Temple, Block E, जयनगर 3rd Þलॉक ई￨ट, Hazratganj, Lucknow, Uttar Pradesh 226001",
35,Falak Numa Restaurant,0522 262 0131,"Hotel Clarks Avadh, 8, Mahatma Gandhi Marg, Hazratganj, Lucknow, Uttar Pradesh 226001",
36,The Terrace,0522 400 5678,"Habibullah Estate Rd, Near Halwasiya House, 11 M. G. Marg, Proposed location, Hazratganj, Lucknow, Uttar Pradesh 226001",
37,Rovers,0522 400 0969,"Mahatma Gandhi Marg, Raj Bhavan Colony, Hazratganj, Lucknow, Uttar Pradesh 226001",
38,Jone Hing Chinese Restaurant,093357 11772,"Mahatma Gandhi Marg, opp. Hanuman Mandir, Sushanpura, Hazratganj, Lucknow, Uttar Pradesh 226001",
39,Brindavan Restaurant,0522 262 9901,"1A, 1st floor, Sapru Marg, Hazratganj, Lucknow, Uttar Pradesh 226001",
40,Home Sweet Home,099580 95393,"3rd floor, Halwasiya House, 11, M. G. Road, Hazratganj, Lucknow, Uttar Pradesh 226001",
HOTEL MANHATTEN GRAND,,,,
41,,,,
4,9511110328,"Plot No-297, Kanpur Rd, Barabirwa, Jafar Khera, Alambagh, Lucknow, Uttar Pradesh 226005",,
42,T&F cafe,083170 89348,"05, Patel Nagar, Adarsh Nagar, Alambagh, Lucknow, Uttar Pradesh 226005",
43,Meet 4 You cafe,074998 81076,"Eco garden chouraha, 568kha/328, Geetapalli, Lucknow, Uttar Pradesh 226005",
44,Marine Room,092354 26000,"RV2W+J6M, Kanpur - Lucknow Rd, Sector B, Bara Birwa, Alambagh, Lucknow, Uttar Pradesh 226005",
45,Simba Cafe,090261 30792,"B-69, Kanpur - Lucknow Rd, Sector B, Bargawan, LDA Colony, Lucknow, Uttar Pradesh 226012",
46,,,,
47,The Jail Cafe,084005 96000,"A-3/172, Patrakarpuram Crossing Rd, Vidhayak Puram, Vinay Khand 3, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
48,Sardar-Ji-Bakhsh Coffee,073888 89219,"TC-13-V-3/A upper ground floor Vibhuti khand Satya Tower, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
49,Cafe UnPlugged,086040 54741,"5/12, Railway Station Rd, Vinay Khand 5, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
50,Cafe 1991,099352 52525,"2/163, Vivek Khand 2, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
51,Windsor Cafe & Bakery,088082 88885,"Uthariya Chauraha, Plot No. 1/55f, Road, Vineet Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
52,The Chocolate Room,089050 00555,"Food Court, Shop No. K1 & K2 One Awadh Central Mall, 3rd Floor, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
53,Athena IAS,073796 27333,"1/79, near Mahamana Malviya High School, Vivek Khand 1, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
54,ATS SUCCESS MANTRA,080046 40848,"9, 10, Arvindo Pk Rd, near Munshipuliya, Sector 9, Indira Nagar, Lucknow, Uttar Pradesh 226016",
55,PDS Classes,091259 59662,"13/415, Arvindo Pk Rd, Sector 13, Indira Nagar, Lucknow, Uttar Pradesh 226016",
56,Success Mantra coaching and computer institute,085639 88342,"Kotwali Rd, Chinhat, Lucknow, Uttar Pradesh 226028",
57,Commerce Academy,094154 00889,"14/920, Sector 14, Indira Nagar, Lucknow, Uttar Pradesh 226016",
58,KASA Coaching (Kors and Score Academy),094550 00055,"C-1540, Sector 5, Block C, Indira Nagar, Lucknow, Uttar Pradesh 226016",
59,Chillout Cafe and Disc.,063912 22211,"Kursi Road, Near Gulachin Temple, above Saffron Restraunt, Vikas Nagar, Lucknow, Uttar Pradesh 226021",
60,Sky Mirage Lounge,086012 20033,"5, Drosia Towers, 5, Park Rd, Raj Bhavan Colony, Hazratganj, Lucknow, Uttar Pradesh 226001",
61,Zync Bar & Lounge,063884 68702,"1st floor, Cyber Heights, Kathauta Chauraha Rd, above Sagar Ratna, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
62,Canaria Restro Lounge,0522 401 4444,"RXWQ+879, Dr Akhilesh Das Gupta Marg, Vipul Khand 5, Vipul Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
63,MT Lounge,096285 24777,"Highland Square, Ram ram bank chauraha, Aliganj, Lucknow, Uttar Pradesh 226024",
64,MOMENTS LOUNGE,0522 424 4474,"S-65, Sector B Rd, Gole Market, Mahanagar, Lucknow, Uttar Pradesh 226006",
65,lalsa restaurant and Lounge,074579 24008,"227105, FF 18 And 19 Faizabad Rd, Lucknow, Uttar Pradesh 227105",
66,Godfather Lounge & disc,079901 11427,"246, Eldeco Greens, Gomti Nagar, Lucknow, Uttar Pradesh 226016",
67,Percussion,0522 410 2727,"2 139, Railway Station Rd, above Indian Bank, Vijay Khand, Vivek Khand 1, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
68,The Darkmoon Lounge,085739 78750,"Purniya Chauraha, Sector H, Sector-A, Aliganj, Lucknow, Uttar Pradesh 226024",
69,TheVault Disc & Lounge,073180 99218,"Hotel Vijay Paradise, Tedhi Pulia Ring Rd, near HP Petrol Pump, Sector 11, Vikas Nagar, Lucknow, Uttar Pradesh 226022",
70,Sheesha Moroccan Lounge,0522 223 7248,"Hotel Deep Palace, Cantonment Rd, Opp Irrigation Office, Husainganj, Lucknow, Uttar Pradesh 226001",
71,Oxygen Cafe,096284 78032,"VXW4+X76, Lohiya Nagar Rd, Sector 2, Vikas Nagar, Lucknow, Uttar Pradesh 226022",
72,Underground Lounge,073939 35000,"544C/65, Tondan Marg, Ahiran Khera, Lucknow, Uttar Pradesh 226003",
73,Ttamaasha Bistro Bar,079916 10111,"4th Floor, Wave Mall, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",
74,Wings Of Fire,086875 55556,"Top Floor, Shri Hari Tower, 4-A, Mira Bai Marg, opp. Sales Tax Office, Narhi, Hazratganj, Lucknow, Uttar Pradesh 226001",
75,ARMA THE LOUNGE AND BUFFET,096964 64400,"behind Era Boy's Hostel, Sarfarazganj, Lucknow, Uttar Pradesh 226003",
76,MT Lounge,096285 24777,"Highland Square, Ram ram bank chauraha, Aliganj, Lucknow, Uttar Pradesh 226024",
